------ Sensor Log Start -------------
03:16:20:00 2186 1527 1522 1661
03:16:10:00 2186 1524 1517 1667
03:16:00:00 2187 1517 1514 1663
03:15:50:00 2187 1520 1508 1665
03:15:40:00 2200 1521 1517 1659
03:15:30:00 2185 1529 1522 1674
03:15:20:00 2191 1516 1595 1706
03:15:10:00 2195 1518 1597 1705
03:15:00:00 2201 1515 1587 1690
03:14:50:00 2208 1528 1589 1681
03:14:40:00 2196 1519 1515 1627
03:14:30:00 2200 1511 1578 1633
03:14:20:00 2206 1522 1578 1625
03:14:10:00 2218 1523 1573 1623
03:14:00:00 2232 1520 1571 1619
03:13:50:00 2221 1516 1563 1607
03:13:40:00 2240 1514 1555 1594
03:13:30:00 2228 1498 1551 1593
03:13:20:00 2234 1482 1551 1574
03:13:10:00 2260 1485 1552 1578
03:13:00:00 2231 1486 1519 1569
03:12:50:00 2228 1477 1512 1554
03:12:40:00 2215 1470 1507 1544
03:12:30:00 2225 1470 1484 1545
03:12:20:00 2225 1456 1488 1535
03:12:10:00 2218 1455 1499 1532
03:12:00:00 2198 1446 1512 1516
03:11:50:00 2214 1444 1511 1512
03:11:40:00 2217 1444 1501 1501
03:11:30:00 2205 1433 1503 1494
03:11:20:00 2201 1433 1505 1500
03:11:10:00 2203 1437 1502 1492
03:11:00:00 2195 1438 1503 1483
03:10:50:00 2188 1422 1497 1475
03:10:40:00 2184 1426 1479 1469
03:10:30:00 2172 1424 1482 1477
03:10:20:00 2180 1422 1486 1463
03:10:10:00 2175 1422 1493 1457
03:10:00:00 2158 1416 1478 1447
03:09:50:00 2135 1409 1486 1446
03:09:40:00 2103 1414 1471 1441
03:09:30:00 2099 1411 1469 1434
03:09:20:00 2072 1391 1463 1431
03:09:10:00 2072 1397 1464 1430
03:09:00:00 2096 1394 1464 1429
03:08:50:00 2087 1397 1459 1425
03:08:40:00 2089 1393 1462 1419
03:08:30:00 2087 1390 1463 1415
03:08:20:00 2086 1390 1458 1426
03:08:10:00 2082 1392 1461 1420
03:08:00:00 2075 1386 1450 1419
03:07:50:00 2079 1385 1456 1409
03:07:40:00 2078 1387 1457 1415
03:07:30:00 2074 1387 1453 1403
03:07:20:00 2077 1381 1447 1404
03:07:10:00 2071 1378 1455 1400
03:07:00:00 2071 1384 1460 1401
03:06:50:00 2072 1384 1456 1401
03:06:40:00 2069 1382 1452 1400
03:06:30:00 2069 1386 1457 1392
03:06:20:00 2076 1391 1450 1396
03:06:10:00 2070 1388 1452 1397
03:06:00:00 2066 1389 1457 1394
03:05:50:00 2070 1389 1455 1393
03:05:40:00 2075 1391 1460 1382
03:05:30:00 2078 1393 1459 1390
03:05:20:00 2078 1389 1459 1389
03:05:10:00 2085 1389 1451 1383
03:05:00:00 2074 1396 1458 1398
03:04:50:00 2082 1400 1456 1390
03:04:40:00 2081 1393 1459 1389
03:04:30:00 2068 1398 1460 1389
03:04:20:00 2082 1404 1459 1384
03:04:10:00 2079 1401 1454 1380
03:04:00:00 2087 1397 1457 1381
03:03:50:00 2073 1396 1455 1375
03:03:40:00 2073 1406 1461 1373
03:03:30:00 2069 1400 1458 1378
03:03:20:00 2077 1404 1465 1377
03:03:10:00 2055 1404 1456 1373
03:03:00:00 2056 1407 1459 1368
03:02:50:00 2055 1404 1458 1370
03:02:40:00 2059 1406 1454 1369
03:02:30:00 2066 1410 1458 1374
03:02:20:00 2059 1410 1459 1364
03:02:10:00 2073 1407 1461 1360
03:02:00:00 2069 1408 1460 1363
03:01:50:00 2068 1412 1462 1353
03:01:40:00 2066 1421 1462 1352
03:01:30:00 2125 1409 1464 1352
03:01:20:00 2099 1414 1459 1348
03:01:10:00 2087 1410 1459 1349
03:01:00:00 2088 1416 1462 1347
03:00:50:00 2093 1417 1461 1345
03:00:40:00 2087 1423 1473 1336
03:00:30:00 2088 1415 1467 1336
03:00:20:00 2091 1424 1463 1325
03:00:10:00 2096 1418 1457 1317
03:00:00:00 2105 1423 1465 1314
02:23:50:00 2100 1420 1464 1307
02:23:40:00 2097 1427 1461 1289
02:23:30:00 2104 1430 1463 1289
02:23:20:00 2104 1427 1463 1266
02:23:10:00 2101 1425 1462 1250
02:23:00:00 2107 1434 1463 1233
02:22:50:00 2154 1434 1463 1216
02:22:40:00 2147 1425 1465 1178
02:22:30:00 2155 1435 1464 1134
02:22:20:00 2147 1439 1455 1718
02:22:10:00 2159 1443 1460 1716
02:22:00:00 2143 1444 1461 1719
02:21:50:00 2160 1442 1460 1720
02:21:40:00 2159 1448 1461 1717
02:21:30:00 2169 1452 1459 1726
02:21:20:00 2174 1450 1459 1723
02:21:10:00 2164 1465 1458 1719
02:21:00:00 2166 1459 1462 1717
02:20:50:00 2175 1457 1462 1731
02:20:40:00 2172 1462 1465 1721
02:20:30:00 2173 1465 1463 1725
02:20:20:00 2181 1472 1463 1723
02:20:10:00 2187 1473 1464 1728
02:20:00:00 2181 1471 1467 1728
02:19:50:00 2180 1474 1461 1722
02:19:40:00 2189 1479 1470 1730
02:19:30:00 2189 1470 1470 1735
02:19:20:00 2188 1473 1464 1723
02:19:10:00 2188 1479 1462 1723
02:19:00:00 2175 1476 1455 1717
02:18:50:00 2182 1481 1461 1722
02:18:40:00 2190 1484 1477 1723
02:18:30:00 2196 1485 1462 1722
02:18:20:00 2193 1502 1466 1726
02:18:10:00 2195 1488 1468 1724
02:18:00:00 2181 1486 1465 1718
02:17:50:00 2196 1483 1461 1717
02:17:40:00 2184 1483 1461 1711
02:17:30:00 2188 1477 1456 1713
02:17:20:00 2190 1487 1460 1707
02:17:10:00 2185 1488 1458 1709
02:17:00:00 2178 1482 1460 1707
02:16:50:00 2176 1485 1452 1699
02:16:40:00 2187 1480 1455 1697
02:16:30:00 2184 1491 1457 1699
02:16:20:00 2184 1491 1457 1709
02:16:10:00 2197 1496 1454 1698
02:16:00:00 2195 1503 1445 1701
02:15:50:00 2188 1500 1457 1701
02:15:40:00 2189 1494 1458 1700
02:15:30:00 2185 1502 1454 1701
02:15:20:00 2193 1506 1496 1737
02:15:10:00 2192 1506 1450 1689
02:15:00:00 2193 1500 1445 1685
02:14:50:00 2196 1496 1446 1679
02:14:40:00 2214 1500 1453 1685
02:14:30:00 2211 1496 1462 1698
02:14:20:00 2207 1495 1441 1662
02:14:10:00 2210 1489 1452 1668
02:14:00:00 2204 1483 1444 1663
02:13:50:00 2210 1489 1439 1655
02:13:40:00 2207 1488 1418 1649
02:13:30:00 2204 1480 1447 1651
02:13:20:00 2203 1483 1452 1652
02:13:10:00 2134 1482 1437 1645
02:13:00:00 2152 1477 1435 1642
02:12:50:00 2143 1474 1429 1631
02:12:40:00 2197 1479 1429 1633
02:12:30:00 2199 1471 1433 1616
02:12:20:00 2198 1477 1428 1627
02:12:10:00 2211 1485 1431 1629
02:12:00:00 2210 1487 1442 1623
02:11:50:00 2192 1469 1435 1603
02:11:40:00 2172 1458 1427 1605
02:11:30:00 2151 1463 1423 1599
02:11:20:00 2148 1474 1422 1615
02:11:10:00 2104 1466 1422 1601
02:11:00:00 2110 1461 1421 1591
02:10:50:00 2115 1464 1424 1591
02:10:40:00 2101 1458 1413 1589
02:10:30:00 2124 1454 1420 1593
02:10:20:00 2123 1453 1418 1588
02:10:10:00 2115 1454 1416 1583
02:10:00:00 2106 1453 1421 1580
02:09:50:00 2106 1451 1419 1584
02:09:40:00 2108 1455 1420 1588
02:09:30:00 2122 1456 1417 1569
02:09:20:00 2121 1453 1413 1576
02:09:10:00 2111 1447 1408 1569
02:09:00:00 2113 1442 1414 1575
02:08:50:00 2105 1438 1418 1567
02:08:40:00 2093 1445 1408 1563
02:08:30:00 2104 1440 1416 1568
02:08:20:00 2103 1440 1418 1572
02:08:10:00 2103 1439 1410 1554
02:08:00:00 2100 1438 1414 1558
02:07:50:00 2092 1441 1410 1566
02:07:40:00 2096 1435 1409 1564
02:07:30:00 2096 1438 1417 1555
02:07:20:00 2103 1438 1413 1551
02:07:10:00 2096 1436 1408 1544
02:07:00:00 2084 1431 1431 1555
02:06:50:00 2090 1434 1413 1553
02:06:40:00 2093 1431 1416 1546
02:06:30:00 2094 1435 1412 1543
02:06:20:00 2096 1430 1414 1543
02:06:10:00 2092 1435 1412 1539
02:06:00:00 2083 1433 1413 1541
02:05:50:00 2080 1431 1408 1540
02:05:40:00 2084 1439 1412 1533
02:05:30:00 2087 1432 1411 1539
02:05:20:00 2087 1430 1412 1549
02:05:10:00 2089 1427 1414 1541
02:05:00:00 2087 1433 1413 1523
02:04:50:00 2084 1425 1415 1525
02:04:40:00 2097 1427 1413 1541
02:04:30:00 2087 1431 1411 1529
02:04:20:00 2094 1428 1406 1523
02:04:10:00 2079 1431 1406 1531
02:04:00:00 2092 1425 1412 1521
02:03:50:00 2094 1432 1411 1522
02:03:40:00 2090 1422 1414 1524
02:03:30:00 2097 1424 1418 1513
02:03:20:00 2082 1426 1415 1511
02:03:10:00 2091 1423 1405 1511
02:03:00:00 2093 1418 1408 1515
02:02:50:00 2077 1420 1411 1513
02:02:40:00 2086 1409 1411 1509
02:02:30:00 2083 1417 1403 1511
02:02:20:00 2073 1413 1403 1508
02:02:10:00 2076 1418 1409 1498
02:02:00:00 2078 1416 1405 1501
02:01:50:00 2074 1418 1412 1500
02:01:40:00 2069 1414 1412 1494
02:01:30:00 2085 1415 1413 1497
02:01:20:00 2092 1412 1413 1491
02:01:10:00 2095 1419 1414 1488
02:01:00:00 2096 1419 1412 1483
02:00:50:00 2087 1415 1427 1496
02:00:40:00 2088 1418 1411 1490
02:00:30:00 2097 1418 1413 1480
02:00:20:00 2096 1422 1413 1490
02:00:10:00 2110 1423 1421 1481
02:00:00:00 2112 1425 1415 1487
01:23:50:00 2109 1431 1424 1482
01:23:40:00 2111 1424 1421 1477
01:23:30:00 2124 1427 1423 1480
01:23:20:00 2116 1437 1417 1477
01:23:10:00 2123 1420 1415 1482
01:23:00:00 2119 1438 1430 1486
01:22:50:00 2126 1434 1430 1486
01:22:40:00 2125 1438 1436 1483
01:22:30:00 2129 1437 1434 1479
01:22:20:00 2117 1436 1432 1476
01:22:10:00 2117 1433 1438 1470
01:22:00:00 2120 1434 1434 1475
01:21:50:00 2187 1434 1433 1479
01:21:40:00 2189 1436 1437 1473
01:21:30:00 2192 1433 1436 1465
01:21:20:00 2189 1429 1439 1470
01:21:10:00 2188 1428 1435 1466
01:21:00:00 2183 1428 1431 1467
01:20:50:00 2188 1425 1429 1453
01:20:40:00 2187 1421 1431 1444
01:20:30:00 2189 1420 1436 1456
01:20:20:00 2184 1422 1428 1456
01:20:10:00 2191 1429 1430 1450
01:20:00:00 2191 1437 1436 1446
01:19:50:00 2189 1475 1432 1441
01:19:40:00 2186 1708 1434 1439
01:19:30:00 2194 1693 1433 1437
01:19:20:00 2200 1689 1428 1432
01:19:10:00 2193 1688 1432 1440
01:19:00:00 2191 1683 1427 1424
01:18:50:00 2183 1690 1428 1421
01:18:40:00 2195 1677 1428 1415
01:18:30:00 2195 1684 1437 1417
01:18:20:00 2198 1684 1424 1408
01:18:10:00 2187 1663 1435 1390
01:18:00:00 2200 1664 1421 1387
01:17:50:00 2187 1659 1423 1393
01:17:40:00 2179 1658 1420 1379
01:17:30:00 2182 1654 1426 1368
01:17:20:00 2183 1653 1418 1354
01:17:10:00 2184 1649 1420 1349
01:17:00:00 2183 1646 1418 1327
01:16:50:00 2176 1645 1411 1302
01:16:40:00 2188 1650 1420 1273
01:16:30:00 2181 1641 1410 1240
01:16:20:00 2185 1637 1409 1182
01:16:10:00 2185 1638 1399 1729
01:16:00:00 2179 1634 1400 1728
01:15:50:00 2186 1630 1393 1723
01:15:40:00 2202 1642 1398 1735
01:15:30:00 2201 1624 1390 1723
01:15:20:00 2207 1633 1447 1770
01:15:10:00 2205 1631 1446 1765
01:15:00:00 2198 1627 1434 1739
01:14:50:00 2198 1622 1436 1731
01:14:40:00 2192 1623 1391 1686
01:14:30:00 2189 1616 1414 1686
01:14:20:00 2185 1617 1412 1669
01:14:10:00 2186 1632 1422 1666
01:14:00:00 2182 1629 1413 1655
01:13:50:00 2170 1608 1389 1647
01:13:40:00 2184 1618 1417 1644
01:13:30:00 2171 1615 1408 1642
01:13:20:00 2163 1599 1391 1626
01:13:10:00 2158 1600 1381 1622
01:13:00:00 2153 1595 1376 1619
01:12:50:00 2145 1592 1366 1616
01:12:40:00 2132 1588 1374 1612
01:12:30:00 2142 1595 1381 1627
01:12:20:00 2141 1594 1385 1622
01:12:10:00 2129 1597 1378 1619
01:12:00:00 2128 1596 1380 1623
01:11:50:00 2118 1599 1387 1613
01:11:40:00 2128 1607 1394 1623
01:11:30:00 2115 1611 1383 1620
01:11:20:00 2207 1620 1386 1626
01:11:10:00 2189 1617 1384 1596
01:11:00:00 2189 1604 1385 1607
01:10:50:00 2115 1584 1372 1603
01:10:40:00 2110 1597 1378 1607
01:10:30:00 2161 1598 1378 1599
01:10:20:00 2158 1603 1371 1598
01:10:10:00 2094 1587 1366 1588
01:10:00:00 2092 1581 1366 1587
01:09:50:00 2079 1581 1366 1589
01:09:40:00 2086 1578 1372 1588
01:09:30:00 2088 1571 1371 1586
01:09:20:00 2076 1570 1364 1586
01:09:10:00 2056 1571 1366 1580
01:09:00:00 2055 1567 1364 1573
01:08:50:00 2058 1572 1364 1572
01:08:40:00 2047 1566 1364 1573
01:08:30:00 2050 1570 1362 1564
01:08:20:00 2061 1567 1363 1565
01:08:10:00 2051 1566 1359 1558
01:08:00:00 2054 1562 1352 1566
01:07:50:00 2047 1566 1354 1560
01:07:40:00 2033 1556 1356 1541
01:07:30:00 2043 1552 1355 1548
01:07:20:00 2038 1554 1355 1553
01:07:10:00 2037 1552 1356 1549
01:07:00:00 2045 1553 1359 1551
01:06:50:00 2039 1550 1359 1553
01:06:40:00 2038 1549 1360 1553
01:06:30:00 2028 1557 1361 1548
01:06:20:00 2040 1551 1358 1546
01:06:10:00 2033 1549 1359 1542
01:06:00:00 2034 1550 1362 1537
01:05:50:00 2031 1552 1359 1544
01:05:40:00 2033 1549 1361 1537
01:05:30:00 2029 1552 1361 1546
01:05:20:00 2029 1548 1358 1538
01:05:10:00 2032 1541 1361 1540
01:05:00:00 2030 1549 1359 1534
01:04:50:00 2033 1547 1363 1532
01:04:40:00 2036 1544 1362 1537
01:04:30:00 2036 1541 1364 1524
01:04:20:00 2041 1544 1363 1529
01:04:10:00 2033 1540 1363 1533
01:04:00:00 2032 1543 1358 1526
01:03:50:00 2035 1543 1368 1521
01:03:40:00 2031 1544 1372 1528
01:03:30:00 2030 1550 1360 1531
01:03:20:00 2038 1539 1363 1525
01:03:10:00 2035 1532 1364 1520
01:03:00:00 2024 1534 1363 1517
01:02:50:00 2124 1533 1365 1513
01:02:40:00 2121 1532 1362 1510
01:02:30:00 2119 1536 1362 1514
01:02:20:00 2117 1532 1365 1512
01:02:10:00 2117 1531 1364 1512
01:02:00:00 2113 1530 1368 1513
01:01:50:00 2121 1521 1368 1511
01:01:40:00 2122 1528 1371 1508
01:01:30:00 2123 1526 1369 1506
01:01:20:00 2119 1524 1370 1509
01:01:10:00 2057 1527 1370 1505
